Band Number,Mainland.or.Island,Retrap,Date,Wing,Tail,Tarsus,Weight,Ssp,,
01A31911,Mainland,NA,15022013,NA,NA,NA,NA,Zosterops lateralis cornwalli,,
01A31745,Mainland,NA,30052013,60.5,43.1,19.8,11.5,Zosterops lateralis cornwalli,,
01A31716,Mainland,NA,19042013,65,44.7,19.5,11,Zosterops lateralis cornwalli,,
01A31739,Mainland,NA,26042013,60,43.7,19.5,11,Zosterops lateralis cornwalli,,
01A31744,Mainland,NA,30052013,61,44,19.4,9.5,Zosterops lateralis cornwalli,,
01A31738,Mainland,NA,24042013,62,43.6,19.4,9.5,Zosterops lateralis cornwalli,,
01A31746,Mainland,NA,30052013,60.5,44.3,19.2,10.5,Zosterops lateralis cornwalli,,
01A31747,Mainland,NA,30052013,59.5,44.9,19.1,11.5,Zosterops lateralis cornwalli,,
01A31743,Mainland,NA,30052013,61,45.7,19,9,Zosterops lateralis cornwalli,,
01A31715,Mainland,NA,19042013,58.5,42.4,18.9,10,Zosterops lateralis cornwalli,,
01A31737,Mainland,NA,24042013,61.5,47.1,18.8,9.5,Zosterops lateralis cornwalli,,
01A31699,Mainland,NA,05022013,60,42,18.8,9,Zosterops lateralis cornwalli,,
01A31693,Mainland,NA,28012013,60,42.3,18.55,10.5,Zosterops lateralis cornwalli,,
01A31720,Mainland,NA,19042013,58,42.2,18.5,11,Zosterops lateralis cornwalli,,
01C-35877,Mainland,N,18/06/2022,57,40,18.5,10.7,Zosterops_lateralis_cornwalli,,
01C-35877,Mainland,N,18/06/2022,57,40,18.5,10.7,Zosterops_lateralis_cornwalli,,
01A31741,Mainland,NA,26042013,60,43.7,18.5,10.5,Zosterops lateralis cornwalli,,
01A31732,Mainland,NA,24042013,60,43.7,18.4,12,Zosterops lateralis cornwalli,,
01A31725,Mainland,NA,19042013,57.5,41.8,18.4,11,Zosterops lateralis cornwalli,,
01A31718,Mainland,NA,19042013,59,41.8,18.4,9.5,Zosterops lateralis cornwalli,,
01A31736,Mainland,NA,24042013,58,44,18.4,9,Zosterops lateralis cornwalli,,
01C35001,Mainland,N,30072022,62,48,18.3,NA,Zosterops_lateralis_cornwalli,,
01C35001,Mainland,N,30072022,62,48,18.3,NA,Zosterops_lateralis_cornwalli,,
01A31723,Mainland,NA,19042013,57,40.7,18.1,10,Zosterops lateralis cornwalli,,
01A31735,Mainland,NA,24042013,60.5,42.5,18,11,Zosterops lateralis cornwalli,,
01A31734,Mainland,NA,24042013,57.5,40.5,17.9,11,Zosterops lateralis cornwalli,,
01C-35872,Mainland,N,18/06/2022,59,44,17.8,11.6,Zosterops_lateralis_cornwalli,,
01C-35872,Mainland,N,18/06/2022,59,44,17.8,11.6,Zosterops_lateralis_cornwalli,,
01A31719,Mainland,NA,19042013,60,41,17.8,11.5,Zosterops lateralis cornwalli,,
01A31722,Mainland,NA,19042013,59.5,44.2,17.8,10.5,Zosterops lateralis cornwalli,,
