Predated or not ,Fake or real ,Name,Date of lay as a factor ,Proportional nest height ,Proportional position in branch,Estimated Incubation time ,Nestling days ,Survival as eggs ,Days survived ,Known days spent as eggs,No. eggs seen,Year ,Mainland or Island 
2,1,2025MA10S2510,56,78.125,50,12,4,1,16,12,3,2025,1
2,1,2025MA12S2510,55,10,80,N/A,N/A,2,N/A,N/A,4,2025,1
2,1,2025MA14S2510,58,80,0,N/A,N/A,2,N/A,N/A,3,2025,1
2,1,2025MA16S2710,62,74.07407407,0,N/A,N/A,2,N/A,N/A,1,2025,1
2,1,2025MA18S2910,64,64.28571429,0,13,4,1,17,13,4,2025,1
2,1,2025MA19S2910,63,33.33333333,0,N/A,N/A,2,8,8,4,2025,1
2,1,2025MA1S0910,41,60,76.92307692,12,5,1,17,12,3,2025,1
2,1,2025MA21S3010,65,25,97.87234043,12,2,1,14,12,3,2025,1
2,1,2025MA22S3010,63,63.63636364,77.77777778,12,7,1,19,12,3,2025,1
2,1,2025MA23S3010,64,85.71428571,0,N/A,N/A,2,1,1,2,2025,1
2,1,2025MA24S3110,63,60,33.33333333,11,3,1,14,11,2,2025,1
2,1,2025MA26W3110,N/A,85.71428571,0,N/A,N/A,2,N/A,N/A,1,2025,1
2,1,2025MA28S0211,64,50,86.95652174,N/A,N/A,2,7,7,4,2025,1
2,1,2025MA29S0211,66,77.77777778,0,N/A,N/A,2,2,2,3,2025,1
2,1,2025MA2S0910,41,100,0,12,2,1,14,12,4,2025,1
2,1,2025MA30S0211,53,32,90.90909091,N/A,N/A,1,18,12,4,2025,1
2,1,2025MA31S0311,55,93.02325581,33.33333333,N/A,N/A,1,16,12,2,2025,1
2,1,2025MA33S0411,77,20,92.30769231,N/A,N/A,2,2,2,3,2025,1
2,1,2025MA34S0411,N/A,76.92307692,37.5,N/A,N/A,2,2,N/A,2,2025,1
2,1,2025MA36S0611,N/A,41.66666667,30,N/A,N/A,2,N/A,N/A,2,2025,1
2,1,2025MA38S0611,71,53.125,50,N/A,N/A,2,N/A,N/A,3,2025,1
2,1,2025MA39S0611,70,68.42105263,0,N/A,N/A,2,2,2,2,2025,1
2,1,2025MA3S1010,40,40,93.75,N/A,N/A,2,N/A,N/A,2,2025,1
2,1,2025MA43N0811,58,69.56521739,20,N/A,N/A,1,19,12,2,2025,1
2,1,2025MA44S0811,78,22.22222222,95.52238806,N/A,N/A,2,10,10,2,2025,1
2,1,2025MA46S1111,68,47.05882353,50,N/A,N/A,1,20,12,2,2025,1
2,1,2025MA47S1111,75,83.33333333,0,N/A,N/A,2,2,2,3,2025,1
2,1,2025MA50S1611,78,15.625,92.59259259,N/A,N/A,2,5,5,1,2025,1
2,1,2025MA51S1711,88,14,95.65217391,N/A,N/A,2,N/A,N/A,3,2025,1
2,1,2025MA53W1911,79,50,90.90909091,N/A,N/A,2,9,9,2,2025,1
