Nest name,Date first discovered ,Days,Egg or nest days,Mainland or Island,Egg or nest days*site
2.1,37518,10,Nestlings,Island,Nestlings*Island
2.2,37553,12,Eggs,Island,Eggs*Island
2.2,37553,13,Nestlings,Island,Nestlings*Island
4,37523,12,Eggs,Island,Eggs*Island
14.2,37567,13,Eggs,Island,Eggs*Island
15.1,37531,13,Nestlings,Island,Nestlings*Island
15.2,37566,12,Eggs,Island,Eggs*Island
16.1,37522,13,Eggs,Island,Eggs*Island
17.2,37527,12,Eggs,Island,Eggs*Island
18.1,37522,12,Eggs,Island,Eggs*Island
18.1,37522,12,Nestlings,Island,Nestlings*Island
18.2,37576,12,Eggs,Island,Eggs*Island
19.1,37523,12,Nestlings,Island,Nestlings*Island
20.2,37523,12,Eggs,Island,Eggs*Island
21.1,37523,12,Eggs,Island,Eggs*Island
21.1,37523,10,Nestlings,Island,Nestlings*Island
23.2,37569,12,Eggs,Island,Eggs*Island
24.1,37523,12,Eggs,Island,Eggs*Island
24.2,37559,12,Eggs,Island,Eggs*Island
28.1,37523,12,Eggs,Island,Eggs*Island
29.1,37523,12,Eggs,Island,Eggs*Island
30,37523,12,Eggs,Island,Eggs*Island
35,37542,12,Eggs,Island,Eggs*Island
37.1,37525,12,Eggs,Island,Eggs*Island
37.2,37562,12,Eggs,Island,Eggs*Island
40.2,37543,11,Nestlings,Island,Nestlings*Island
42,37551,12,Eggs,Island,Eggs*Island
43.2,37559,12,Eggs,Island,Eggs*Island
47,37542,12,Eggs,Island,Eggs*Island
49,37559,9,Nestlings,Island,Nestlings*Island
50,37563,11,Nestlings,Island,Nestlings*Island
51.1,37527,12,Eggs,Island,Eggs*Island
51.2,37573,11,Eggs,Island,Eggs*Island
55.2,37569,12,Eggs,Island,Eggs*Island
57.2,37543,12,Eggs,Island,Eggs*Island
58.2,37541,13,Nestlings,Island,Nestlings*Island
59.2,37541,11,Eggs,Island,Eggs*Island
60.3,37571,12,Eggs,Island,Eggs*Island
61.2,37553,15,Nestlings,Island,Nestlings*Island
62.1,37528,13,Eggs,Island,Eggs*Island
64.2,37570,12,Eggs,Island,Eggs*Island
65,37529,12,Eggs,Island,Eggs*Island
65,37529,15,Nestlings,Island,Nestlings*Island
68.2,37546,13,Eggs,Island,Eggs*Island
72.1,37534,12,Eggs,Island,Eggs*Island
72.1,37534,12,Nestlings,Island,Nestlings*Island
72.2,37562,12,Eggs,Island,Eggs*Island
76,37535,10,Eggs,Island,Eggs*Island
76,37535,15,Nestlings,Island,Nestlings*Island
77.2,37560,12,Eggs,Island,Eggs*Island
79.2,37560,12,Eggs,Island,Eggs*Island
80,37536,12,Eggs,Island,Eggs*Island
81.2,37555,13,Nestlings,Island,Nestlings*Island
81.2,37555,12,Eggs,Island,Eggs*Island
82.1,37538,12,Nestlings,Island,Nestlings*Island
83,37538,12,Eggs,Island,Eggs*Island
83,37538,12,Nestlings,Island,Nestlings*Island
85,37539,12,Nestlings,Island,Nestlings*Island
88,37543,11,Eggs,Island,Eggs*Island
91.1,37543,11,Eggs,Island,Eggs*Island
92,37544,12,Eggs,Island,Eggs*Island
97.1,37550,12,Nestlings,Island,Nestlings*Island
97.2,37562,13,Eggs,Island,Eggs*Island
98.2,37565,12,Eggs,Island,Eggs*Island
101,37554,12,Eggs,Island,Eggs*Island
105,37550,12,Eggs,Island,Eggs*Island
105,37550,11,Nestlings,Island,Nestlings*Island
106,37558,12,Nestlings,Island,Nestlings*Island
109.2,37579,12,Eggs,Island,Eggs*Island
110,37560,12,Eggs,Island,Eggs*Island
112,37562,12,Eggs,Island,Eggs*Island
113,37562,12,Eggs,Island,Eggs*Island
116,37563,12,Eggs,Island,Eggs*Island
117,37555,12,Eggs,Island,Eggs*Island
118,37562,12,Eggs,Island,Eggs*Island
2025MA10S2510,45955,12,Eggs,Mainland,Eggs*Mainland
2025MA18S2910,45959,13,Eggs,Mainland,Eggs*Mainland
2025MA1S0910,45939,12,Eggs,Mainland,Eggs*Mainland
2025MA21S3010,45960,12,Eggs,Mainland,Eggs*Mainland
2025MA22S3010,45960,12,Eggs,Mainland,Eggs*Mainland
2025MA24S3110,45961,11,Eggs,Mainland,Eggs*Mainland
2025MA2S0910,45939,12,Eggs,Mainland,Eggs*Mainland
2025MA30S0211,45963,12,Eggs,Mainland,Eggs*Mainland
2025MA31S0311,45964,12,Eggs,Mainland,Eggs*Mainland
2025MA32W0311,45965,12,Eggs,Mainland,Eggs*Mainland
2025MA32W0311,45965,10,Nestlings,Mainland,Nestlings*Mainland
2025MA43N0811,45969,12,Eggs,Mainland,Eggs*Mainland
2025MA46S1111,45972,12,Eggs,Mainland,Eggs*Mainland
2025MA52S1811,45979,12,Eggs,Mainland,Eggs*Mainland
2025MA52S1811,45979,10,Nestlings,Mainland,Nestlings*Mainland
2025MA57S2211,45983,11,Eggs,Mainland,Eggs*Mainland
2025MA59W2211,45983,12,Eggs,Mainland,Eggs*Mainland
2025MA60W2211,45983,12,Eggs,Mainland,Eggs*Mainland
2025MA64S2711 ,45988,12,Eggs,Mainland,Eggs*Mainland
2025MA73E0512,45996,12,Eggs,Mainland,Eggs*Mainland
2025MA73E0512,45996,9,Nestlings,Mainland,Nestlings*Mainland
2025RJ1W0611,45967,12,Eggs,Mainland,Eggs*Mainland
2025RJ1W0611,45967,11,Nestlings,Mainland,Nestlings*Mainland
2025TC1E0111,45962,13,Eggs,Mainland,Eggs*Mainland
2025TC1E0111,45962,9,Nestlings,Mainland,Nestlings*Mainland
2025WG10S2510,45955,12,Eggs,Mainland,Eggs*Mainland
2025WG22S0811,45969,11,Eggs,Mainland,Eggs*Mainland
2025WG22S0811,45969,10,Nestlings,Mainland,Nestlings*Mainland
2025WG24S1111,45972,12,Eggs,Mainland,Eggs*Mainland
2025WG28S1811,45979,12,Eggs,Mainland,Eggs*Mainland
2025WG42E3011,45991,12,Nestlings,Mainland,Nestlings*Mainland
2025WG43S3011,45991,12,Eggs,Mainland,Eggs*Mainland
2025WG44S0212,45993,12,Eggs,Mainland,Eggs*Mainland
2025WG44S0212,45993,9,Nestlings,Mainland,Nestlings*Mainland
2025WG49S0212,45993,12,Eggs,Mainland,Eggs*Mainland
2025WG49S0212,45993,9,Nestlings,Mainland,Nestlings*Mainland
2025WG51S0212,45993,12,Eggs,Mainland,Eggs*Mainland
2025WG52S0712,45998,13,Eggs,Mainland,Eggs*Mainland
2025WG52S0712,45998,9,Nestlings,Mainland,Nestlings*Mainland
2025WG53S0812,45999,12,Eggs,Mainland,Eggs*Mainland
2025WG53S0812,45999,9,Nestlings,Mainland,Nestlings*Mainland
2025WG54S1312,46004,12,Eggs,Mainland,Eggs*Mainland
2025WG57S1812,46009,12,Eggs,Mainland,Eggs*Mainland
2025WG58S1812,46009,12,Eggs,Mainland,Eggs*Mainland
2025WG59S1912,46010,12,Eggs,Mainland,Eggs*Mainland
2025WG60S2412,46015,12,Eggs,Mainland,Eggs*Mainland
2025WG60S2412,46015,10,Nestlings,Mainland,Nestlings*Mainland
2025WG61S2612,46017,12,Eggs,Mainland,Eggs*Mainland
2025WG61S2612,46017,9,Nestlings,Mainland,Nestlings*Mainland
2025WG64S2001,46042,11,Eggs,Mainland,Eggs*Mainland
2025WK1W1111,45972,12,Eggs,Mainland,Eggs*Mainland
ESWG_14_11,45610,10,Nestlings,Mainland,Nestlings*Mainland
