Chick ID ,band.n,nest,clutch.size,hatch.date,band.date,day,wing,tail,tarsus,post.cul.length,ant.cul.length,ant.cul.depth,ant.cul.width,digital weight,pin.length,feather.length,feather.total.length,feathered.ratio,Day of pin break ,Mainland or Island,,
R1,12181,1,,,1,8,33,,17.1,,,,,10,,,,,,0,,
R1,12181,1,,,1,6,23.1,,14.5,,,,,9,,,,,,0,,
R1,12181,1,,,1,4,12.3,,11.1,,,,,5,,,,,,0,,
R1,12181,1,,,1,2,6.2,,7.5,,,,,3,,,,,,0,,
L1,12178,3,,,3,8,41,,19.1,,,,,11,,,,,,0,,
R1,12177,3,,,3,8,39,,18.5,,,,,11,,,,,,0,,
R2,12176,3,,,3,8,41,,18.8,,,,,11.5,,,,,,0,,
L1,12178,3,,,3,6,31.6,,17.9,,,,,11,,,,,,0,,
R1,12177,3,,,3,6,28.7,,16.7,,,,,10,,,,,,0,,
R2,12176,3,,,3,6,32,,17.4,,,,,10,,,,,,0,,
L1,12178,3,,,3,4,22.6,,14.9,,,,,9,,,,,,0,,
R1,12177,3,,,3,4,18.8,,13.7,,,,,8,,,,,,0,,
R2,12176,3,,,3,4,22.4,,14.6,,,,,8,,,,,,0,,
L1,12178,3,,,3,2,11,,11.3,,,,,5.5,,,,,,0,,
R1,12177,3,,,3,2,10,,11.2,,,,,4.5,,,,,,0,,
R2,12176,3,,,3,2,11.8,,11.6,,,,,5.5,,,,,,0,,
L1,12183,6,,,6,8,26,,13.1,,,,,8.5,,,,,,0,,
R1,12184,6,,,6,8,29,,15.6,,,,,10.5,,,,,,0,,
L1,12183,6,,,6,6,14.6,,11,,,,,6.5,,,,,,0,,
R1,12184,6,,,6,6,16.8,,12.8,,,,,8.5,,,,,,0,,
L1,12183,6,,,6,4,9.3,,8.7,,,,,4.5,,,,,,0,,
R1,12184,6,,,6,4,9.5,,9.6,,,,,5,,,,,,0,,
L1,12183,6,,,6,2,5.2,,6.7,,,,,2.5,,,,,,0,,
R1,12184,6,,,6,2,6.7,,6.7,,,,,2.5,,,,,,0,,
R1,12186,9,,,9,8,28,,16.8,,,,,8,,,,,,0,,
R1,12186,9,,,9,7,25.8,,15.8,,,,,7.5,,,,,,0,,
R1,12186,9,,,9,4,18.5,,11.4,,,,,7,,,,,,0,,
R1,12186,9,,,9,2,11.8,,11.4,,,,,4.5,,,,,,0,,
L1,12187,10,,,10,8,25.3,,16.1,,,,,9,,,,,,0,,
R1,12188,10,,,10,8,27.8,,15.7,,,,,9,,,,,,0,,
L1,12187,10,,,10,6,19.1,,14.3,,,,,7,,,,,,0,,
R1,12188,10,,,10,6,20.5,,13.9,,,,,7.5,,,,,,0,,
L1,12187,10,,,10,4,12.8,,11.6,,,,,6,,,,,,0,,
R1,12188,10,,,10,4,14.6,,12.8,,,,,6,,,,,,0,,
L1,12187,10,,,10,2,8.5,,8.8,,,,,3.5,,,,,,0,,
R1,12188,10,,,10,2,9.7,,9.3,,,,,4,,,,,,0,,
R1,12198,16,,,16,8,35.4,,18.7,,,,,10,,,,,,0,,
R1,12198,16,,,16,6,28.6,,17,,,,,10.5,,,,,,0,,
R1,12198,16,,,16,4,18.8,,13.2,,,,,8,,,,,,0,,
R1,12198,16,,,16,2,9.7,,9,,,,,4,,,,,,0,,
