Date first discovered ,Nest height (m), Tree height (m),Position from centre of tree (m),Position from edge of branch (m),Bearing ,No. eggs seen,Days survived ,Camera On,Predated or not ,Mainland or Island ,Year,Fake or real ,Name,Status of nest at discovery ,Predator ID ,Date of eggs seen ,Date of lay as a factor ,Proportional nest height ,Date of fledging ,Proportional position in branch,Complete clutch size ,Known lay dates,Estimated lay date,Hatch date,Nestling days ,Survival as eggs ,Plot,Survival as nestlings ,Obscurity
09/11/2024,1.75,4.5,NA,NA,NA,2,NA,NA,NA,Mainland (2024-2025),2024,1,574E-24-10,NA,NA,09/11/2024,NA,38.88888889,NA,NA,NA,NA,NA,NA ,NA ,0,NA,NA,NA
09/12/2024,3.4,8,NA,NA,NA,2,NA,NA,NA,Mainland (2024-2025),2024,1,ESWG_9_12b,NA,NA,09/12/2024,97,42.5,NA,NA,2,NA,45632,NA ,NA,NA,E,NA,NA
17/12/2024,2.5,3,NA,NA,NA,1,NA,NA,NA,Mainland (2024-2025),2024,1,ESWG-17-12,NA,NA,20/12/2024,111,83.33333333,NA,NA,NA,20/12/2024,20/12/2024,NA ,NA,NA,E,NA,NA
09/12/2024,3.6,7,NA,NA,NA,2,NA,NA,NA,Mainland (2024-2025),2024,1,ESWG-9-12,NA,NA,12/12/2024,102,51.42857143,NA,NA,3,11/12/2024,11/12/2024,NA ,NA,NA,E,NA,NA
NA,8.5,11.5,NA,NA,NA,3,NA,NA,NA,1993-1994 (Sept to Feb),1993,1,I895,NA,NA,NA,NA,73.91304348,NA,NA,3,NA,NA,06/02/1994,NA,NA,NA,NA,NA
NA,9.5,11,NA,NA,NA,3,NA,NA,NA,1993-1994 (Sept to Feb),1993,1,I971,NA,NA,24/01/1994,146,86.36363636,NA,NA,3,24/01/1994,24/01/1994,27/01/1994,NA,NA,NA,NA,NA
NA,9,10,NA,NA,NA,2,NA,NA,NA,1993-1994 (Sept to Feb),1993,1,I972,NA,NA,07/02/1994,160,90,NA,NA,2,07/02/1994,07/02/1994,NA ,NA,NA,NA,NA,NA
NA,7,8,NA,NA,NA,2,NA,NA,NA,1993-1994 (Sept to Feb),1993,1,I973,NA,NA,31/01/1994,153,87.5,NA,NA,2,31/01/1994,31/01/1994,10/02/1994,NA,NA,NA,NA,NA
NA,4,11,NA,NA,NA,3,NA,NA,NA,1993-1994 (Sept to Feb),1993,1,I974,NA,NA,10/02/1994,163,36.36363636,NA,NA,3,10/02/1994,10/02/1994,NA ,NA,NA,NA,NA,NA
NA,11,14,NA,NA,NA,3,NA,NA,NA,1993-1994 (Sept to Feb),1993,1,I975,NA,NA,10/02/1994,163,78.57142857,NA,NA,3,10/02/1994,10/02/1994,NA ,NA,NA,NA,NA,NA
NA,10.5,12,NA,NA,NA,3,NA,NA,NA,1993-1994 (Sept to Feb),1993,1,I976,NA,NA,10/02/1994,163,87.5,NA,NA,3,10/02/1994,10/02/1994,NA ,NA,NA,NA,NA,NA
04/11/2025,2.2,2.6,0,0.6,NA,4,22,11/11/2025,0,1,2025,1,2025MA32W0311,Building,NA,08/11/2025,69,84.61538462,NA,0,4,08/11/2025,08/11/2025,20/11/2025,10,0,W,0,48.45
18/11/2025,1.2,1.6,0,0.1,140,3,22,21/11/2025,0,1,2025,1,2025MA52S1811,3 eggs laid ,NA,18/11/2025,69,75,NA,0,3,NA,08/11/2025,20/11/2025,NA ,0,S,0,63.81
25/11/2025,4,15,6,0.4,10,3,NA,NA,0,1,2025,1,2025MA62S2511,NA,NA,NA,NA,26.66666667,NA,93.75,3,NA,NA,NA,NA ,0,S,0,NA
30/11/2025,3.4,3.5,0.1,0.15,305,3,NA,04/12/2025,0,1,2025,1,2025MA65,2 chicks ,NA,30/11/2025,NA,97.14285714,Est 28/11/25,40,3,NA,NA,29/11/2025,NA ,0,W,0,NA
01/12/2025,1.1,4,2,0.05,220,2,NA,NA,0,1,2025,1,2025MA67S0112,Fledging ,NA,NA,NA,27.5,NA,97.56097561,2,NA,NA,NA,NA ,0,S,0,75.34
05/12/2025,1.8,1.95,0,0.15,66,4,22,09/12/2025,0,1,2025,1,2025MA73E0512,Building,NA,07/12/2025,98,92.30769231,29/12/2025,0,4,07/12/2025,07/12/2025,20/12/2025,9,0,E,0,NA
06/11/2025,1,2.5,0,0.4,25,4,23,11/11/2025,0,1,2025,1,2025RJ1W0611,Building,NA,07/11/2025,68,40,NA,0,4,07/11/2025,07/11/2025,19/11/2025,11,0,W,0,60.79
01/11/2025,1.5,3,0.4,0.6,NA,2,21,10/11/2025,0,1,2025,1,2025TC1E0111,Building,NA,04/11/2025,65,50,NA,40,2,04/11/2025,04/11/2025,17/11/2025,8,0,E,0,NA
08/11/2025,1.5,2,3,0.25,90,2,21,NA,0,1,2025,1,2025WG22S0811,NA,NA,08/11/2025,69,75,NA,92.30769231,2,08/11/2025,08/11/2025,19/11/2025,10,0,S,0,NA
25/11/2025,8,8.5,NA,NA,NA,2,NA,NA,0,1,2025,1,2025WG33E2511,NA,NA,NA,NA,94.11764706,NA,NA,2,NA,NA,NA,NA ,0,E,0,NA
30/11/2025,2.2,14,2.6,0.6,53,3,21,NA,0,1,2025,1,2025WG42E3011,NA,NA,30/11/2025,NA,15.71428571,18/12/2025,81.25,3,30/11/2025,NA,09/12/2025,12,0,E,0,57.16
